id,nroomsAuto,nrooms,nregions,nobjects,dimX,dimY,dimZ,floorArea,set,notes
3222c9793b28c56952c6601e0b9bc22a,4,4,6,61,9.970,2.750,13.145,131.056,train,
32476c2d3827ae348bd0d77713105a44,2,3,4,44,44.055,2.740,45.040,1984.254,val,
329bad8cf23562bab3324d7b5d2432ca,8,8,8,104,9.560,2.750,11.484,109.782,test,door associated with wrong room
33206035d21cb61f93b357c6175fc90b,3,3,5,38,5.489,2.740,6.215,34.117,train,
334e66da2bcf01154786b713ed288b5b,8,8,9,41,54.375,2.742,44.005,2392.772,train,
391b2c12f927e26c83624582e4968031,8,8,10,62,15.015,2.740,10.405,156.234,train,
3a6adc98d3c8837275d056beaac8910a,6,5,6,36,10.343,2.740,9.288,96.068,test,
3c374e266c7040b4bdc2f56d911899d4,3,3,5,92,18.060,3.005,13.325,240.648,val,
3d170561689638cc9da713365c641ace,4,4,4,45,17.305,2.740,6.076,105.148,test,
3eb0be5f8a986b39fb6b7e00d31ee2b9,4,3,5,68,11.567,2.800,6.947,80.359,val,
3effe3c04e4ff224ce8f2718e3257570,4,5,6,43,7.235,2.740,6.128,44.335,test,
3f6ec6004b532f1c5b27c1f724a5c9a9,3,5,5,34,8.679,2.750,5.740,49.818,train,
3f9e3ad165283d7a958405a93141677f,2,2,5,47,12.443,4.954,9.122,113.507,train,
3ff2357a64356e8224cc1a53ad5a2862,5,5,6,31,23.120,2.790,9.590,221.721,train,
40136fcc4e59839d557591f183c6a568,4,5,7,108,15.707,2.850,16.719,262.596,val,transparent walls
40666d3bde3d0c0dba48550a5e24314a,2,2,6,45,8.681,2.740,5.445,47.267,train,
4095655197e131ed6b38b9b666567b61,2,2,5,115,7.340,2.740,12.975,95.233,train,
40ab6f6f5f628880ebd0c76c6dbd4afe,36,36,40,479,36.827,3.350,33.539,1235.134,extra,
41598d59f726b418957891eee52d0407,3,5,6,63,13.752,3.348,9.689,133.238,val,connected room regions
41b2f9263c72caf79eb614a5e686b153,2,2,3,39,7.826,2.750,7.220,56.499,test,
42ad94ff06f6bba2736665101d9f65f7,5,8,6,56,10.155,2.850,6.238,63.346,val,
431402340b3913b27c607b7e1daeabbc,3,3,5,70,11.685,2.752,8.546,99.865,val,
433465680bea13705dbb6f241bf452b9,2,2,5,33,6.680,2.740,6.825,45.587,train,
434733f7d45fc0167c302f4c58b06f62,8,8,10,104,29.874,3.662,17.685,528.319,train,
439b819210ab2976e0739b11b7404d9c,2,2,4,49,5.190,3.150,5.247,27.233,val,
43a54cf13e61a660fa10b59db0286cb6,3,3,7,120,18.759,2.750,9.595,180.001,val,
44c89aa87c0a6691c84d918399e624a5,8,9,9,119,20.027,2.840,10.750,215.284,train,
44ffeacb35bf75921f96fca86c157d08,4,4,7,100,7.229,2.740,8.529,61.663,train,
4698ef8fa3b7716e493f969f26cdaeec,4,4,6,110,13.795,2.750,12.415,171.263,val,
46b41698a31bfd2268a1e357d2345acb,5,5,7,82,13.440,2.740,11.800,158.585,train,
47011df41d35536cf1580de86f825e39,7,7,9,48,13.290,2.740,9.285,123.392,train,
4747337a75ca06ea403e3f8a2427ca2f,1,4,3,48,13.450,2.750,8.931,120.118,test,
47a41b280b9ee71f91dcefba1857e480,4,5,7,84,6.757,2.761,9.031,61.024,train,
4893155cea3b699bed0092e307a44610,3,3,4,40,8.515,2.740,5.250,44.704,train,
498d711818b98537a1a642ccdd57f3af,6,6,6,38,14.015,2.740,10.350,145.059,test,
49d6e05e6cead604857dadcb5e429f3a,3,3,3,16,7.599,2.840,5.885,44.723,test,
4a1fa3d3141c08daa712392f0146553f,5,5,7,79,18.072,4.070,4.664,84.293,val,
4a65e809999ee7795e31da5b7ef76fef,7,7,7,70,12.842,2.740,20.030,257.234,train,
4aabef6ce7e1ee40f36b063e2bb8f3e7,5,5,7,86,10.658,2.840,11.245,119.847,test,balcony
4b7da76981d3d7308f659e0d4b86178d,2,3,4,39,10.740,2.740,9.735,104.553,val,
4c6c1294ba74e9b0efe3093d6a61c9f6,6,7,9,230,17.702,3.790,12.148,215.047,val,
4c947bbc95a35eb58bffa663bd0cc72f,4,4,5,72,13.920,2.740,10.345,144.002,test,
4d9af2b7621834b227f4eeccc2fa1dac,7,7,10,81,16.920,2.740,9.185,155.415,train,
4ea985cfde80b38cdaff7a9bcc70ef7b,4,4,6,69,15.400,2.790,10.220,157.388,train,transparent walls around kitchen
4f577ad349168dce4b0d1d919a0b27b2,6,6,7,24,19.344,2.740,8.961,173.352,train,
51016a6913f0b4467f425563f53df849,9,8,15,209,18.733,3.356,17.040,319.210,train,
516b8680c8cb71588ea1f92bcdcfd2fd,4,4,5,30,10.320,3.662,5.985,61.765,test,
517a4f8554e406ae151a6d63825e21ec,7,7,7,218,28.370,3.473,23.275,660.312,test,
517d114dc81e3d62bedf3f6b4fd907e8,7,7,10,76,40.245,2.740,60.225,2423.737,train,
51b9c36ae8c3602fd8486d4af8e8afd2,2,3,4,36,12.989,3.890,5.820,75.599,train,
51d35af90de88919e73196978117a553,2,2,5,47,10.099,2.790,10.735,108.418,train,
51f5b312ccb4961c24456520bdfcbcfe,4,7,6,78,6.453,2.750,8.878,57.291,val,
52f985c66346231b085f3d5b9a0cbc06,4,3,4,44,7.919,2.750,6.225,49.299,val,
52f9bb4777ac78267c6444f1e0f86d05,2,2,2,37,8.335,2.750,4.770,39.754,train,
54439030f62674bbf0f28fde23b91f3f,4,5,6,81,9.755,2.740,5.430,52.968,train,
5470aa61ce1e34e924786644ad727021,3,3,4,59,15.690,2.756,11.575,181.612,test,
548f73a94fe472799a03433f917342d7,5,5,7,77,17.810,2.750,10.320,183.794,train,
563e4e2e3c0dc666ded9f39f95317958,9,9,9,73,43.905,2.740,51.585,2264.837,val,
56d96141b7c0282d697034049355dacf,2,2,2,22,8.160,2.740,5.695,46.470,test,
56e825e1fd27d65b09c781eebb238a31,4,4,5,50,4.801,2.770,7.850,37.692,train,
57b69bf554348a4c185841889fa2cacb,4,4,7,66,13.095,4.300,8.750,114.586,train,transparent wall
58306be361138410c5383bfc6af2b843,5,5,7,181,16.648,3.206,6.588,109.683,train,
585ccf9e616c6a081e328d883eb31eed,7,7,8,87,17.010,4.250,12.023,204.512,val,needRoomFixup
58db8443bb04b437abd94fe25d56336e,8,9,10,72,22.765,2.740,13.145,299.255,train,
5a5ada1137160fa97f6b2228052125d0,7,8,8,48,9.544,2.740,7.577,72.312,train,
5b2206fd67f3d25c67cf0946660bb9e2,5,7,8,116,7.720,2.750,13.082,100.988,train,
5b74e5de96a12d2d3dbf3490f6ebcae0,3,3,5,38,10.320,3.172,7.300,75.334,test,
5b8eff9430ea9fe3593bd3ecdcbcb353,5,6,5,95,10.162,2.750,7.365,74.842,test,
5ba35716f1ebd8d7a4bf5496bb5f1a35,2,2,3,37,3.461,2.740,5.775,19.985,train,
5bdc4b26c95d62dcbd5dd8537e003575,3,3,4,56,15.941,2.740,11.585,184.667,test,
5d15bde1d863bee14e97cc6caebf0567,5,5,5,100,9.735,2.740,9.229,89.853,test,
5d217946e94db66c6a6b98b71696031a,5,5,7,174,12.863,2.769,9.568,123.065,val,
5da2a081094d905866c46fc6c87326ce,3,6,5,70,10.110,2.750,6.945,70.211,val,
5fee460a02afd608722484441e8f6f0e,4,4,5,29,11.220,2.990,5.975,67.038,train,
601f4b699295ff6977d731161b85d211,2,2,4,20,8.800,2.740,4.775,42.016,train,
60ff7255d6b433f2b80452115267bdaf,9,9,9,63,19.175,2.750,9.376,179.795,val,
6218e8c4679246f634d7298431309c2a,3,3,4,49,6.425,2.740,10.579,67.971,train,
626442f0b37fc7c3b2b0900bf8a88a9d,3,3,3,19,6.734,2.740,6.508,43.822,val,
63d80bce32156bf802d9b7e1bf5898c0,3,3,4,44,9.574,2.750,6.520,62.417,test,
644e0c62d4af53bdd486679d59c427a8,4,4,6,82,18.500,2.740,8.118,150.185,train,
6526e6e16f07f7e231280a4ac0474e8c,5,4,7,50,11.105,2.740,10.289,114.265,test,
668df4076fb2925decb65359fff932bc,7,7,7,48,14.010,2.740,8.350,116.984,test,
670130b8ebdf698cf1c870bda777bb2b,6,9,9,68,6.861,2.750,10.250,70.327,train,
676d627de72e97978a0e72c9b3894621,6,6,7,62,12.040,2.735,12.265,147.673,val,
67e6a4665e0590c180cbf165cf75bd58,4,4,6,93,15.105,2.900,11.899,179.740,train,transparent boundary
67e8903bfffb852e70ea617ec9ab1272,4,4,5,36,5.799,2.740,8.425,48.861,train,transparent boundaries
683f50338b6a899186df00d7d1fbcab2,8,8,8,88,9.315,2.740,10.920,101.717,test,
68dd52cec65b29134bdcac0a527b6e38,4,3,7,90,19.260,3.712,18.025,347.156,train,
69216812298f3fad3790a7a350daa347,4,6,6,106,6.385,2.740,9.520,60.787,test,
696d3c031ff647ad1dfbaf01c52d8698,6,6,6,62,10.225,2.740,9.659,98.766,val,
6974a559665cb2eb355e91633fe485fc,10,9,14,257,14.031,2.750,10.330,144.937,train,
69e283eec2f85eb53d528dcfb2172ab9,4,4,6,60,8.948,2.750,8.970,80.262,train,
6b38b196f5d95f95fadc26f16bd848d9,5,8,7,58,10.234,2.762,7.465,76.397,train,
6b44bbcb43326250350f27cd91c6f784,3,5,4,7,8.840,3.348,5.175,45.745,test,
6b8243456df780ee80bcfa39883fcc44,9,9,10,104,15.478,2.750,11.575,179.155,val,
6cf5b5c8fca952c8102269e930c1f7ea,3,3,7,70,7.739,2.740,8.155,63.113,train,
6dcd9e1a7e6c2bdc858d3ef7d9f828a7,6,7,6,84,6.685,2.740,8.032,53.695,val,
6df2515b08691957ccd213a323153986,2,2,2,47,12.360,2.775,4.327,53.476,val,
6e5455008ed225acfe4515a2b7d7c3b3,4,5,5,57,6.970,2.735,7.185,50.080,val,
6e737acf638ecacb79d9c10157fb470c,8,8,10,62,7.570,2.740,8.680,65.706,train,
6eb765b8114a82ca5edc0ae557b59e7e,3,3,3,29,14.249,2.740,5.342,76.127,test,
6f3cfa0808f592a562e4f633c9acdffc,8,8,8,74,8.395,2.940,9.360,78.577,val,
6f905fac454cea2d4cf5fd4d83a83a69,6,6,6,62,11.160,2.750,8.446,94.261,val,small single floor house with multiple rooms
6fd13d44c210a5e26c555452963835f0,3,3,5,44,8.670,2.750,9.969,86.432,val,
70ab9e4f0f63e35fae1524c4604d8092,7,9,8,85,17.919,2.740,16.165,289.671,test,
71364fa0a780728e8337b63fe7240334,6,6,10,90,16.389,2.800,12.595,206.421,train,
71c60894a097e936c244368e7dc7c800,4,4,4,28,5.175,2.740,8.392,43.429,test,
71f2471946866100c986f34aeb350e98,2,2,4,29,8.340,2.750,6.615,55.168,train,
722e25bc5f193527902e65aa9b432268,5,5,7,79,12.299,2.750,7.618,93.696,val,
724be8c85e7bd54b216926b35e4ae77a,2,2,2,35,9.170,2.780,6.965,63.867,train,
739e40b39e8f228a24a07bc5f6cb2da6,3,3,3,42,5.252,2.735,8.185,42.990,train,
7435bc12c59ff891b94eb187198e916c,6,6,7,47,9.472,2.840,7.276,68.916,val,
774cac564340b3f9da9acad380d1eac5,2,2,3,64,42.645,2.740,47.745,2036.062,train,
788958f4bd8d04370860b28b88f47317,1,2,2,29,5.325,2.750,5.238,27.892,val,
78ce9e571ac81e4a4f5bcb5123fec043,3,3,5,22,5.840,2.740,7.355,42.952,train,
78e52704c938fd6380fa2e735cbb106f,2,2,4,17,9.050,2.740,5.902,53.412,train,
792c85d9948613d6e3a65f97471fc61f,5,5,7,182,14.819,2.750,11.952,177.109,train,
794b7d6e4bfa6cea2fd93024f1d29511,36,45,40,282,20.118,3.662,30.540,614.402,extra,
79894af7c5241d72e5501f36f6797ca2,6,6,8,47,15.179,2.740,13.760,208.863,train,
79a5468bbb1e163afe4d635eea16d6bb,27,24,27,498,58.690,3.140,35.409,2078.162,extra,
79c9ac002deb6cc126b561ac99b48c8a,6,6,6,101,16.330,2.760,21.760,355.341,train,
7a7c58e07c47c1d90a5ceb6ff59d68b9,6,6,8,109,15.300,2.740,8.663,132.539,test,
7ba974c583fc0f2c90b058c18d85fb95,2,2,3,47,8.650,2.740,8.285,71.663,test,little workplace
7bff414da8570ef53c87c5ce5c15bc2a,4,4,6,47,18.712,2.790,9.237,172.846,val,
7c5a9cec44135d97867919ded133f86b,6,7,9,28,13.139,2.740,8.840,116.149,train,
80ba2262ba2b3712684f7a06ec711a35,3,3,4,56,10.193,2.740,5.189,52.895,train,
8590f21e5361dfdaf0596ac396d0ce1e,4,5,7,29,9.876,2.740,8.806,86.963,train,
8626d35143f88ed869d119c3edc9ad69,6,6,6,81,15.870,2.740,11.105,176.234,val,
8643eb446d7515577f139a2897072b0c,7,7,8,73,13.139,2.740,10.155,133.433,train,
87d82b7900f97e7e0bb31e06ab78dfa6,1,3,3,28,17.525,3.662,5.530,96.912,test,
87f009ce2c904df0f0b75433611e74bf,2,2,3,50,20.748,2.800,12.285,254.883,train,
88237e9b9e5f50b47a4559fdad57a278,1,2,3,42,9.230,2.740,5.322,49.122,train,
885394cb2deedb5b3e9d7dcf04b843b1,3,3,5,40,13.030,2.750,4.909,63.970,train,
8963fff5e0bc8491bb30e1a3295cd47f,2,2,3,21,5.795,2.740,5.189,30.072,test,
8a8ff9a6e5557aee7de1db73a9f3a015,3,4,5,95,11.060,2.740,7.555,83.561,train,transparent wall
8ba9a07d755f9f66dd1394a377e70ed3,2,2,4,42,10.360,2.740,5.265,54.544,train,
8c332592008264f70b213dee9cc99d43,5,5,5,18,11.215,2.750,8.036,90.128,train,
8e0e54ad70eefeae869401fc31413c44,5,5,7,134,12.790,2.740,8.495,108.651,train,
8ef37d4ef66731d29b37bac589ed9d85,8,9,15,259,16.447,3.662,16.005,263.234,train,
8f6479e9ff75b2c437e849746282c94a,4,7,7,47,16.477,2.750,14.560,239.912,train,needRoomFixup
90ab826c2340e552f55f9b6d88db57e4,2,2,4,46,11.130,2.790,10.822,120.445,train,
90db864d37391702f6fbe2b497700d12,4,4,5,28,7.345,3.353,7.277,53.447,train,
9101d507e8b19c04aee37f86446e7531,5,8,6,63,14.672,3.423,8.407,123.345,train,
933946d4f7728207205db1af613b0528,5,6,8,111,8.155,2.740,7.396,60.317,train,
93a10df80770c85ce38b779cabdc9957,10,9,15,180,23.610,3.288,13.633,321.871,train,
93d2d55f161d256112636d371c99bd9d,2,2,2,15,5.929,2.740,4.848,28.743,train,
952f3a83adf948fc90d0b7d18a1976c7,2,2,4,17,7.449,2.740,6.355,47.342,train,
956bb20e072d8524253dbf1f25e3d99e,5,5,5,55,40.720,2.740,42.660,1737.131,train,
96844f3b5cf4c73226e7f26ca5867c87,8,8,10,28,14.315,2.740,11.080,158.615,train,
97b31df98ff577da95aea69f26898ce6,4,5,5,73,6.855,2.740,8.865,60.771,train,balcony
981325e48f5b3a710aa6c51dc2a7df38,3,3,5,58,19.350,2.790,13.840,267.804,train,needRoomFixup:rooms are just walls
982fb2d65f7c975d80cf2a55a3d1c97b,5,5,7,40,8.700,2.750,6.520,56.725,val,
9894c4785870390a1e13a521ad7de007,7,7,10,157,15.276,2.850,14.950,228.384,train,
98972f08277e013fcaba1cd0f277b700,10,9,12,47,20.975,2.888,15.805,331.505,train,
98e0ec5d2a23b183d87359db26aa1480,4,4,5,35,9.680,2.740,6.445,62.383,train,
99c0d30d3741ca5dadda7bd2543e4fee,4,5,5,55,6.220,2.735,6.655,41.393,train,needRoomFixup:single room house (4 rooms)
9a0974410dd7d8d228ca568576544784,3,4,5,52,8.970,2.740,12.081,108.364,train,connected room regions
9b145a43c4044fad820a3cd36ceeaf01,9,9,12,126,15.034,2.858,12.775,192.056,train,
9b261d8067f17c92fc5057f82c04ab6c,7,7,10,110,12.270,2.740,13.128,161.079,train,
9b9cdf7b17935379378c413d8c5b6245,1,3,2,65,6.177,2.762,4.427,27.347,val,
9cd97e0833139e321113241cf7aa6359,9,9,12,103,13.835,2.827,18.766,259.614,train,tv at end of corridor
9d5672937df7e2909769fff5127e257f,2,2,3,24,9.435,2.740,5.164,48.721,train,
9dccca3f5696dcab416f952bdb807755,4,4,7,85,16.995,2.750,13.590,230.969,val,
9dd0cb3d6756a3939cdfe77b4e034282,2,2,2,15,9.975,3.423,8.244,82.229,val,
9e1b0d8b332308d83101441d1b05f374,2,2,3,37,5.200,2.750,5.065,26.337,train,
9e2555128d88c1c1f593940206a850f4,5,4,5,53,8.208,2.740,11.430,93.814,test,
9ea397d2b6625d740148dcd5e41d3f8d,3,2,4,54,8.355,2.790,6.512,54.405,test,
a089f7c02c74d61284bc8d43dd5e23fd,4,4,5,43,11.770,3.239,6.254,73.606,train,
a18c1347555514e4e42aeaf2952d6d37,4,6,4,56,15.402,3.048,12.450,191.758,train,
a39bf875f20b4079219b914f7eb5131a,5,6,7,77,12.425,2.760,6.965,86.543,train,shower is partially a room
a3ad8f9fc87d06fbc3d0b501dcde41a5,2,2,2,32,4.770,2.750,4.520,21.560,train,
a3bfac164b6b0009c2757072688bee7b,4,4,5,76,10.390,2.740,6.205,64.474,train,
a4eb54eda3a808b7fc162d2489d551f3,8,9,8,108,13.224,2.755,9.909,131.041,test,
a5d229162c00122d75f4cd88fb8d21bc,4,4,6,34,9.265,2.750,5.229,48.442,train,
a6378d0f4744ce73a13be8d1bc643354,9,8,9,96,12.385,2.752,20.779,257.354,train,
a71c50089d93112b0faa10856b760943,3,3,3,19,4.613,2.750,7.670,35.382,train,
a76db2d95f65641d03d27393ea4775aa,5,5,5,61,11.243,2.740,8.845,99.449,val,
a77713f037f4bd9f65c043d12306ff7e,2,2,4,47,10.389,2.740,6.085,63.224,train,
a80e134f1c4036c3af045d4d7e22d42d,3,2,3,23,5.700,2.740,5.666,32.294,train,
a8353754ad1a8db45b1722f445551503,1,2,2,31,6.189,2.751,5.788,35.826,test,
a8bf70b151f86812ee2bd6e4c10ae976,7,7,8,114,12.767,2.740,17.445,222.723,val,
aba2b5e87a2798cc1947e07acc95c0e3,5,5,5,96,10.328,2.740,8.330,86.033,val,
acdcf649c45e0726628e663e32e175c6,3,3,3,71,11.852,2.760,10.645,126.164,test,
ae253dddca465d451c470e7cea5b4741,3,3,5,40,6.261,2.740,6.805,42.601,train,
b066a00867511286a63c01d572274959,6,7,6,76,11.182,2.740,14.780,165.270,train,
b0efd59e12b8157b913e4d47576ad6c8,2,2,4,29,10.255,3.050,8.260,84.704,train,
b1a1db5aebb5990161da3cf71475b447,21,20,21,343,35.130,2.790,41.872,1470.947,extra,
b23ef4e828df99d52f5b34025fcb60a0,3,3,5,23,42.235,2.750,42.825,1808.712,train,
b2982627ed34254795d279069bd989be,8,9,9,146,18.195,2.740,13.578,247.052,train,
b29f909ef2238c31f5b986bbd3822ae9,7,8,7,59,6.186,2.740,11.451,70.837,test,
b39fd65c15c9aa95d6b6fa756d7cf2cb,7,6,10,73,15.095,2.800,15.060,227.331,train,
b4b24a833be64574032dc23d25f525eb,4,5,6,32,8.644,2.750,11.086,95.827,train,
b52e97161205926c613e5e4dc4c135e8,2,3,3,41,9.032,2.740,6.870,62.051,train,
b618e2afdc774055b9cd727032ec16cc,5,5,7,52,7.065,3.058,11.650,82.307,train,
b63caded9daac34d7a2baa3310049c4d,3,3,4,46,6.409,2.930,6.345,40.671,test,
b78eac4c46ef185cdc4a4a7ef58a106e,2,2,2,134,8.650,3.342,7.394,63.960,train,
b8b05445e08ec07232c3873b25d65c81,4,4,5,61,9.649,2.750,8.555,82.553,test,dark textures
b8bb5e98ab8a3fd8e3ad6da248d2344e,3,3,5,36,20.070,2.740,10.600,212.742,test,
bae0cb761204289ff00dfa64688ce67c,9,9,12,148,12.028,2.791,14.791,177.910,train,
bb257ac3ac399782e2f922650f3719fa,6,6,7,72,6.760,2.750,7.228,48.857,train,
bc07d623b2ae32a8b3b0f2297d4b59fc,3,4,4,69,48.556,2.752,39.731,1929.145,train,needRoomFixup:0_32 not a room (so just 3 rooms)
bcace184b4d72e5f9287862274a7c4b1,8,8,10,156,39.504,4.954,21.619,854.039,train,
bd6108eae5c055656e0806250887af4e,5,5,6,31,6.409,2.740,6.001,38.465,train,
bdc268262d1c7dbe590176b6dd7548c4,5,5,5,50,16.442,2.740,14.135,232.407,val,
bdd5de6b83ad57d7c1e0727d1738d2a4,5,5,5,27,14.827,2.750,11.335,168.070,train,
be4cf9ff93d915697e060719be9427df,8,8,8,46,15.300,2.740,11.295,172.813,train,
bee78bf3f65a80c03526c289a64e54d7,3,3,3,49,8.361,2.740,5.910,49.415,train,
bf42df0beaf0b9168dcdf541ff9b630f,6,6,7,112,6.774,2.750,9.280,62.864,val,
bfa110ba5aaa9a621b12366d7fa9d92e,4,4,8,104,31.683,4.944,29.211,925.501,train,symmetric workplace
bff53f4c0af0c368735c0605b7202111,3,4,5,35,12.253,3.702,9.014,110.450,val,connected room regions
c06c56275ea0170c39b48a59a035aa3e,8,8,8,61,14.230,2.740,11.805,167.981,train,
c13b0c6c782b78910b7c2e82282981e7,5,5,6,42,10.830,2.740,6.360,68.877,test,
